Title,Instructor,Description,Rating,User_vote,Total_hours,Lecture,Level
JavaScript Memory Game coding project,Laurence Svekis,Explore how you can build a custom JavaScript Memory game from Scratch learn JavaScript by working on this project,3.7,65,2.0,22,Beginner
Unity3D  Mobile Game Development From Unity to App Store,Brett Abamonte,Learn how to create and publish a game for both Android and iOS from the Unity3D Game Engine ,3.8,65,6.0,29,Intermediate
iOS Memory Game Objective C XCode,Amir J,Develop a Memory Puzzle App for iOS with Objective C,4.1,65,2.5,21,Beginner
Unity Game Development for beginners,Uditha Sampath Bandara,Unity Game Engine,3.0,65,1.0,7,Beginner
Complete Java Tutorial Step by Step   become a programmer,Shibaji Paul,Learn Java to become Industry ready programmer  Acquire skills in Java to face job interviews  develop Android apps ,4.2,65,23.5,143,All Levels
Restful API Development with Spring Boot Plus JPA Plus Cloud,Dinesh Krishnan,The Real Time Restful API Development with Spring Boot  JPA and Cloud Service Technologies    from the scratch ,3.5,65,2.0,34,All Levels
Modern Web Design and Development  Intro to PWAs in Angular 8,Jacinto Wong,Suitable for All Levels   Learn Design Principles  Angular CLI  Firebase  Photo Editing  and More ,4.3,65,4.5,55,All Levels
Fastrack WEB DEVLOPMENT  Learn HTML5  CSS3  JavaScript,Harshit Srivastava,And host your website live on INTERNET for FREE ,4.3,65,2.0,15,All Levels
WordPress Tutorial For Bloggers   Beginners To Advanced,Gaurav K,Linux  Nginx  MariaDB  PHP  LEMP  Stack   DigitalOcean   Cloudflare   Genesis Framework   BunnyCDN,4.0,65,4.0,75,All Levels
Serenity Bdd    Selenium WebDriver  Cucumber  Jira  Jenkins,Raghu Alapati,Learn How to Build and Enhance A Robust Functional Test Automation  framework in BDD using Serenity Selenium and Cucumber,3.8,65,6.5,25,All Levels
React Native bootcamp   Build an Instagram Clone w Firebase,Antoni Skup,JavaScript   React Native and Firebase tutorials  in which we will build a fully functional social network Instagram,4.3,65,12.5,47,All Levels
React in 1 Hour  Learn the Fundamentals  Fast,Austin Chauncey,Learn the fundamentals like components  state  props  lifecycle methods  css  lifting state   etc ,3.9,65,1.0,28,Beginner
Vue js Jump start with Nuxt js and Firebase,M  Hendra,Learn how to build search engine friendly web apps with Vue and Nuxt,4.6,65,6.5,38,All Levels
Unity  MySQL Database Management,Armin Sarajlic,Create a Login and Registration system for your game in 1 hour ,4.4,65,1.5,10,Beginner
Create a Powerful Website with the Cool Bootstrap Framework,JobboJ Courses,Learn from Scratch the CMS e107 and Build from Zero your custom website  With Bootstrap framework for improve it ,3.4,65,4.0,25,All Levels
Unit Testing for Typescript and NodeJs Developers with Jest,Alex Horea,Master unit testing with NodeJs  Typescript  Jest and React  Write top quality Typescript and NodeJs software with Jest,4.5,65,4.0,43,All Levels
iOS app development for absolute beginners ,Yehuda Oren Cohen,iOS app development made easy  Navigate Xcode  swift  gain confidence in mobile development ,4.3,65,1.5,12,Beginner
Java Essential Programming,Ihtesham Hussain,Beginner to advance essential JAVA programming techniques  training,4.1,65,5.5,34,Beginner
Java Object Oriented Programming  AP Computer Science B,Eric Chou,AP Computer Science  Java Programming  Object Oriented Programming  Java GUI  OOP   Java  Algorithms  Data Structure,4.7,65,52.5,256,Intermediate
Robotic Process Automation  RPA for Managers and Leaders,Jineesh Thankarajan,Learn Robotic Process Automation  RPA  from the scratch and gain very good understanding about RPA adoption,4.3,65,3.5,24,All Levels
Deep Learning for Beginners in Python  Work On 12Plus Projects,Vijay Gadhave,Work On 12Plus Projects  Deep Learning Python  TensorFlow 2 0  Neural Networks  NLP  Data Science  Machine Learning  More  ,4.7,64,14.5,106,All Levels
AZ 100   Azure Admin   Configure and Manage Virtual Network,Sandeep Soni,Its a starup course for I T Professionals targeting AZ 100 Microsoft Azure Infrastructure and Deployment certificatiions,4.0,64,6.0,15,Beginner
Datastructures in C Programming,DIGIFLAX ONLINE,Collection of Concepts   Datastructures in C PROGRAMMING Language,4.0,64,1.5,20,All Levels
Break Into The Programming Business,Huw Collingbourne,The world of programming for entrepreneurs and startups,3.7,64,3.0,19,All Levels
Learning Git   A Beginners Git Course From Infinite Skills,Infinite Skills,An essential course for all developers   programmers  Learn how to use the power of source control with this git course ,4.4,64,3.5,41,All Levels
Yii2 PHP Framework for Beginner to Advance 2020 with Project,Kazi Ariyan,Yii2 Framework Course for Beginner to Advance with Complete Job Portal Website Project,4.4,64,6.5,57,All Levels
I Want to Create an App But Don t Know Where to Start ,Gary Kind,Understand the myriad of app development tools  technologies and frameworks  regardless if you are a coder or non coder ,4.2,64,1.0,11,All Levels
Laravel Framework 2020 Complete Professional Project Course,easy Learning  Kazi Ariyan,Laravel Framework Course for Beginner to Advance with Complete Online News Portal Website Project,3.9,64,18.5,113,All Levels
Ionic 4 Firebase with Angular Build PWA  Native Android  iOS,RapidDev Pro,Ionic 4 Angular with Firebase and Cloud Firestore NoSQL DB  Build Real World ionic 4 with Firebase Auth and Firestore DB,4.9,64,4.5,44,All Levels
Complete Guide for Custom Inspectors and Windows in Unity ,Jos  Augusto Thomas,Looking for ways to make your script a lot more designer friendly  This is your definitive guide ,3.8,64,4.5,31,Intermediate
Gulp 4  Automate your development workflow,Sergey Shtyrlov,Automate your development processes with Gulp 4 toolkit,4.1,64,5.0,41,Beginner
Introduction To Data Analytics Using Microsoft Power BI,ClayDesk E learning  Syed Raza  Qasim Shah  Syed Ali,Learn how to perform Big Data Analytics using Microsoft Power BI  Microsoft Business Intelligence,4.3,64,1.5,17,All Levels
The Complete Guide to the Best 200 WordPress Plugins,Alexander Oni,Learn how to use a wide variety of amazing plugins to improve the design and functionality of your WordPress website ,4.8,64,18.0,194,All Levels
Comprehensive Algorithms,Jordan Hudgens,This course provides a comprehensive overview of the concepts of algorithm analysis and development ,4.0,64,3.0,26,All Levels
Use Laravel to Consume APIs and Services Over HTTP,JuanD MeGon  ProgramarYa By JuanDMeGon,Create an HTTP client with Laravel and Guzzle HTTP to consume any API and online service over HTTP requests from Laravel,4.5,64,5.5,67,All Levels
Ultimate Neural Nets and Deep Learning Masterclass in Python,John Harper,The best way to learn machine learning and AI using python  simply and fully explained concepts with practical exercises,3.8,64,6.5,52,Beginner
 NET CORE API development,Taurius Litvinavicius,develop  net core APIs,4.4,64,2.5,16,Beginner
Master Java Web Services  Restful API JAX RS,StudyEasy Organisation  Chaand Sheikh,Learn building Restful API based application with Java ,4.1,64,10.5,88,Beginner
Learn Reactivex From Ground Up,Eduonix Learning Solutions  Eduonix Tech  ,Master the technology of the future and start building better apps with ReactiveX,4.4,64,5.0,33,Intermediate
Django 3 0 MasterClass   Learn How To Create Django Apps,Volkan At  ,Learn How To Create Real Life Web Applications With Django Mysql and Sqlite Databases,4.1,64,28.0,175,All Levels
Building FHash Applications,Packt Publishing,Design  build  and deliver real world applications faster with FHash,3.8,64,2.5,20,Intermediate
Deploy Machine Learning Models on GCP Plus AWS Lambda Docker,Ankit Mistry  Data Science   Machine Learning Academy,How to Serialize   Deserialize model with scikit learn and Deployment on Heroku  AWS Lambda  ECS  Docker and Google Cloud,4.1,64,4.5,53,Intermediate
The Ultimate Guide to Savegames in Unity,Andreas Metz,Learn to create a Savegame for your Unity3D Game with different Serialization and Encryption   Techniques ,4.7,64,4.5,24,Beginner
Learn CHash with Windows Forms and a Variety of Projects,A O,Includes a Powerful Database Project ,4.4,64,20.5,173,Beginner
Content Management System in PHP and MySQL,Vivek Vengala,PHP Content Management System from basic to advanced covering all the features ,4.0,64,16.5,170,All Levels
JavaScript ES6   The Next Level,SkillBakery Studio,Learn the all new cool features of ES6   EcmaScript version 6 and see how it enhances JavaScript furthermore ,3.6,64,2.0,35,All Levels
Machine Learning and Data Science Essentials with Python and R,AkaSkills  35 000  Students,Master Machine Learning with Python  Tensorflow and R  Data Science is the most in demand and Highest Paying Job of 2018,4.4,64,5.5,24,All Levels
Variables In Java Coding,Pronoy Kumar  Sabrin Siraje,Start as a complete beginner and learn some of the most essential java basics ,3.5,64,1.0,5,Beginner
The Django Bible    Python for Web Developer,Sachin Kafle,Build 6 stunning web apps  Learn Back End Web Development using django 3 1 2 and plus ,4.0,64,41.5,122,Beginner
The Complete MATLAB Course Hash1 An Ultimate Guide For Beginner,Sobhan N ,Essential MATLAB Guides for beginners and refresher everything included and Easy to follow,2.6,64,1.0,36,All Levels
Exploratory Data Analysis with Pandas and Python 3 x,Packt Publishing,Extract and transform your data to gain valuable insights,4.2,64,5.0,32,Beginner
16 beginner programming projects  Java  Python JavaScript cHash,Bluelime Learning Solutions,Learn to program in multiple programming languages with step by step projects,4.2,64,17.0,163,Beginner
From Zero to Python  Essential Course for Absolute Beginners,Jorge Escobar,Learn the Parts of Python You Really Need to Begin Your Coding Career,4.0,65,2.5,40,Beginner
Create a Simple Landing Page with Flutter Web and Firebase,Haris Samingan,Learn Flutter Web with Firebase such as Firestore  Firebase Auth  Firebase Hosting,4.4,63,6.0,83,Beginner
Modern PHP Web Development w  MySQL  GitHub and Heroku,Trevoir Williams,Learn to develop data driven web applications using PHP and MySQL  manage them with GitHub and deploy to Heroku,4.8,64,12.0,42,All Levels
Byte Size Chunks   Java Multithreading,Loony Corn,A little treat with all you need to know about multithreading and concurrency in Java,4.1,63,2.5,13,All Levels
Learning Spring Boot,Packt Publishing,Build and ship Java applications with Spring,4.0,63,4.5,35,Beginner
Python for Data Science and Visualization  Beginners to Pro,Analytics Leap  Animesh Jaipurkar,Complete Python data science course   beginner to expert in data analysis and visualization   Pandas  Numpy and MatPlotLib,4.5,63,5.0,69,Intermediate
Building a Realtime Chat App with Angular and Firebase,Packt Publishing,Build  launch and deploy your very own realtime chat application with authentication  using Angular  Bootstrap 4 and a F,3.9,63,4.0,36,Intermediate
How To Build An eCommerce Site With WordPress and WooCommerce,HasThemes Academy,Learn how to build a professional eCommerce store using WordPress and WooCommerce using all the best free tools,4.7,63,2.0,26,Beginner
Program Flow In Java Course,Pronoy Kumar  MD  Hasanur Rahaman Hasib,Learn Java In This Course with the basics examples ,3.7,63,37.0,7,All Levels
Getting Cozy with Unity UI,Gametutor    ,Learn how to utilize the new Unity UI system to build functional User Interfaces for your Unity game development ,4.2,63,2.0,11,Intermediate
Learn JavaScript From Scratch,XEO Learning,Do you want to learn the most popular programming language in the world  Let s learn JavaScript quickly and in easy way ,3.7,63,2.5,32,All Levels
Learn To Program Tic Tac Toe with CHash and Visual Studio,Mohammad El Haj,Build a complete desktop game in Winforms using Visual studio and CHash NET on Windows ,3.9,63,1.0,16,Intermediate
Getting Started with Embedded AI   Edge AI,Embedded Insider,Explained a demo application to recognize fault of a small DC motor by analyzing vibrational pattern via Embedded EdgeAI,4.2,64,3.5,51,Intermediate
Serverless Microservices on AWS in 10 Hours,Packt Publishing,The perfect course to implementing cost effective  and scalable Microservices and APIs using serverless computing on AWS,3.5,63,10.0,65,Intermediate
DotNetNuke Development Made Easy For ASP NET Developers ,Amr Swalha,Build Powerful DNN Sites With Modules  Web API and Scheduled Tasks  DNN 9 Updated ,3.5,63,3.0,25,Beginner
Cognitive App Development with IBM Watson,Pranjal Srivastava,ChatBot Text to Speech Speech to Text Visual Recognition Tone Analyzer Personality Insights  Language Translator NLU C,3.0,63,3.5,30,All Levels
Projects in React Native  Learn By Building Real World Apps,Eduonix Learning Solutions,An in depth guide to learn native mobile programming  using JavaScript,3.4,63,5.5,42,Intermediate
Advanced VDI with VMware Horizon 7,Packt Publishing,Learn how to architecture and implement a Horizon 7 virtual desktop infrastructure,3.8,63,7.0,57,Expert
Make Your Own Custom Block in Moodle,Brian Kremer,Your first step in Moodle and PHP development,4.4,63,2.0,18,Beginner
Creating Facebook Instant Games using Unity,Shaheer Tahir,Learn how to create a Facebook Instant Messenger Game using the Unity Game Engine ,3.8,63,39.0,6,Beginner
LaTeX for everyone 2020,David Armend riz,LaTeX for everyone ,4.8,63,2.0,23,All Levels
Prototyping with Sketch,Matthew Cameron,Sketch Prototypes for Web and Mobile   Create Winning Prototypes with Sketch,4.3,63,6.0,64,Beginner
Laravel 7 X from beginners to master ,H ritier Nkele Nkele,Learn Basic lessons in Laravel 7 by building an advanced crud app  This course is also available in Laravel 5 and 6 ,3.7,63,13.5,85,Beginner
Computer Vision  YOLO Custom Object Detection with Colab GPU,Abhilash Nelson,YOLO  Pre Trained Coco Dataset and Custom Trained Coronavirus Object Detection Model with Google Colab GPU Training,4.5,64,4.0,42,All Levels
The Angular Certification Course,Marufa Yasmin,Learn to code in angular from scratch Go from beginner to learning some of the most essential angular basics ,3.6,63,42.0,7,All Levels
Java Spring Framework 4 1 For Begginers,Alfa e Learning,Java Spring Framework 4 1 For Begginers   Spring MVC,3.9,63,2.5,18,Beginner
Develop professional apps for Android and iOS using Livecode,Fulvio Massini,Learn to develop great native apps for iOS and Android using Livecode  no reprogramming  one language to rule them all  ,4.4,63,9.0,71,All Levels
The Ultimate Spring Batch Developer Course,Spring Batch,Learn how to design and develop robust batch applications with the power of the Spring Batch framework ,4.7,64,5.0,54,All Levels
Beginner s guide to the Mac OS X Command Line Terminal,Aditya Arakeri,Step by Step approach to learning the Mac OS X Command Line Tool  Terminal ,3.7,63,1.0,35,Beginner
Interactive Dynamic JavaScript for beginners DOM,Laurence Svekis,JavaScript can make your web pages come to life   Learn how to make your HTML and CSS code interactive and dyanmic,4.3,63,2.0,22,Beginner
The Beginner s Guide to HTML,Parker S ,The course that teaches complete beginners to write high quality HTML,4.6,63,2.5,27,Beginner
Beginner Data Analysis Using SQL and Microsoft SQL Server,Bluelime Learning Solutions,Learn Hands On  how to build Real World SQL Queries  to answer questions with data ,4.2,64,3.0,39,Beginner
Elementor    Make Amazing WordPress Pages With Elementor,Gurpreet Singh,Build the site you by using the most powerful WordPress page builder and theme creator ,5.0,63,1.0,14,All Levels
Laravel and Realtime  Build Several Realtime Apps with Laravel,JuanD MeGon  ProgramarYa By JuanDMeGon,Build realtime notifications  games  chat rooms  and more realtime applications with Laravel and Websockets ,4.8,63,5.0,49,Intermediate
Build 20 SpriteKit Games for iPad using Xcode and Swift ,John Bura,Build games in Swift with SpriteKit  Build iPad apps today ,4.5,63,28.0,287,Beginner
Master RPA in Automation Anywhere Enterprise Client v11,Ilya Eremenko,Learn Automation Anywhere and Robotic Process Automation  RPA  with Theoretical Lectures and Hands On Practical Exercises,4.0,62,4.5,25,Beginner
Jenkins With DevOps For Developers  Beginners Course,Syed Ali  Syed Raza  ClayDesk E learning  Qasim Shah,The basic guide to your Jenkins CI and DevOps  Learn Jenkins Continuous Integration pipeline build,4.0,62,3.0,33,All Levels
Getting Cozy with Shader Forge for Unity 3D,Gametutor    ,Learn to create amazing custom shaders for use in your own game development  without any coding ,4.0,62,2.0,11,Beginner
Swift Weather Meteorology Application with REST API,David Kababyan,Develop iOS Weather App using Swift and REST API Xcode  learn how to write clean code and build iOS application  ios 12,5.0,62,10.0,74,Intermediate
SSIS Real World Scenarios and Projects   Tricks of the Trade,Vikas Munjal,Learn Microsoft Business Intelligence SQL SSIS Tools and Package with ETL in Data Warehouse Step by Step via SSDT in MSBI,4.4,62,6.5,32,Intermediate
Product Experimentation  A B Testing in R and Interview Prep,Preeti Semwal,Data Science  R Coding  AB Testing  Multivariate Test  Multi armed Bandit  Statistics  Hypothesis Testing  Optimization,4.6,62,2.5,26,All Levels
Mastering Arduino From beginners To Core Advance,shubham panchal,complete guide to arduino sensors and a lot more with theory and practical,3.8,63,6.5,58,All Levels
Learning To Program In Java 8   Video Based Training,Infinite Skills,A beginners guide to learning to program in Java 8 from Infinite Skills,4.7,62,6.5,82,All Levels
Becoming an Unreal Automation Expert,Tim Gro mann  Andreas Hauber  Jonas Roth,Using Blueprints  CPlusPlus and Python,4.6,62,4.5,57,Intermediate
Create a Chatbot for Facebook Messenger with Laravel and PHP,Jan K nig,Step by step to your first custom chatbot with PHP,4.3,62,1.5,25,Beginner
Angular 9 Jump Start   For Busy Developers,Web University by Harsha Vardhan,Angular 2  Angular 8  Angular 9  Dashboard  REST API calls  Real Time Project  Durgasoft,4.2,62,4.0,27,Beginner
Dell Boomi AtomSphere   IPaaS Beginner Training,Saad Qureshi,Master the fundamentals of Dell Boomi AtomSphere,4.4,62,5.5,25,Beginner
Google Apps Script Consent Form Exercise   JavaScript Cloud,Laurence Svekis,Practice Exercise for Learning how to use Google Apps Scripts   Track within a Spreadsheet  send email  convert to PDF,4.1,62,1.5,13,Beginner
Python  Object Oriented Programming,Frank Anemaet,Move beyond the basics with Object Oriented Programming,4.7,62,1.0,37,Beginner
MultiThreading In Python,Satish Venkatesh,Python MultiThreaded Programming,3.5,62,2.0,40,All Levels
Creating A Chip 8 Emulator In C,Daniel McCarthy,Learn to create an emulator for a 1970s machine ,4.5,62,5.0,17,Intermediate
PHP Date and Time with Carbon by Edwin Diaz,Edwin Diaz,Learn to customize Date and Time in your PHP applications easily and fast with Edwin Diaz ,4.3,62,1.5,14,All Levels
Let s develop a message driven microservices application,Bernhard Wenzel,Learn how to build scalable applications using multiple frameworks and languages in one knowledge packed crash course,4.4,62,2.5,52,Beginner
How to build Wordpress Website With Astra and Elementor,Abdirizak Hersi,Learn how to create a business website with WordPress using Elementor Plus Astra Theme  no coding needed ,3.7,62,6.5,54,Beginner
Algorithms and Data Structures in Javascript 2020,Luke s Programming School,Master algorithms and data structures in Javascript ,4.6,62,5.0,44,All Levels
Create your own UBER App with Flutter and Firebase Course 2021,Coding Cafe,Learn Dart  Flutter and Firebase by Google and Build your own iOS and Android Taxi Ride Sharing Application like UBER Clone,4.6,62,17.0,71,All Levels
Learn Python GUI with Tkinter  The Complete Guide,Pranjal Srivastava,Transform your ideas into beautiful GUI application,3.4,62,2.0,16,All Levels
How to build a website using WordPress,Rajiv Khattar  Swati Khattar,Wordpress Tutorial   Wordpress Course   Website Installation and creation Step By Step   Create A Wordpress Website,4.6,62,5.5,74,Beginner
Unity 2019 Make an intermediate 3d survival game,Sunny Valley Studio,Create a 3d game with URP from scratch in a low poly style with inventory  crafting and save systems ,4.3,62,26.0,165,Intermediate
Mobile Automation with Xamarin UITest,Karthik KK,Automate cross platform application with Xamarin UITest for android ios,4.2,62,5.5,37,All Levels
MongoDB  Learn Administration and Security in MongoDB,Insculpt Technologies,Complete guide for sharding  administration and security in MongoDB,3.1,62,1.0,26,Intermediate
Learning Path  Django  Modern Web Development with Django,Packt Publishing,Complete featured guide to help you build real world scalable  and secure web applications using the finest tools of Dja,3.8,62,14.5,135,Intermediate
How to Put Ads Into Your Apps   AdMob   Xcode  Swift  iOS,Alex Nagy,The best and free course series that actually shows you how to efficiently boost your app with AdMob ads the smart way,3.8,62,1.0,12,All Levels
Learning Path  ArcGIS  Get Started with ArcGIS,Packt Publishing,Harness the power of ArcGIS ,3.8,62,6.5,34,Beginner
ETL for beginners   Learn to integrate data,Bluelime Learning Solutions,Learn to  extract  transform and  load data,3.2,62,2.5,29,Beginner
Visual Basic Programming   VB NET with Windows Forms Apps,EDU CBA,Learn how to program with Visual Basic  Develop Your Own Apps with VB NET Programming  Learn Windows Forms in details,2.7,62,21.0,150,All Levels
Modern Data Architecture using Microsoft Azure,Vimal Vachhani,An introduction to Azure Data warehousing Technologies and Principles,4.1,63,1.5,16,Beginner
Modern Data Architecture using Microsoft Azure,Vimal Vachhani,An introduction to Azure Data warehousing Technologies and Principles,4.1,63,1.5,16,Beginner
The Complete Guide to Bot Creation,Tim Gro mann  Felix Breuer,and Automating your Everyday Work,3.7,63,4.5,43,Beginner
Intro to Flutter For iOS and Android,Devslopes by Mark Wahlbeck,Build cross platform mobile apps,4.5,62,5.0,24,Intermediate
Lead Generation Masterclass  Create Web pages with Elementor,Jun Bien Law,Complete Guide on Building Converting Lead Pages with Elementor Plugin  Branding and Email Campaigns  English Subtitle ,4.2,62,8.5,59,All Levels
Ruby On Rails Web Development  To Do List App,John Elder,Learn Ruby On Rails The Fast And Easy Way ,4.5,62,3.0,37,Beginner
Complete Java Developer Bootcamp,Sunil Kumar Gupta,The complete Java Course to Master Core Java Development  OOP  Hibernate and Java Interview Questions Step by Step,3.7,62,12.0,127,All Levels
All About Gaming Industry Careers and Game Design Fundamentals,VICONIC Development,2 courses in 1  Explore Career Paths in the Gaming Industry and the Fundamentals of Game Design,4.7,61,5.0,41,All Levels
Asp Net Core   The Complete Guide To Build Rest Api s,Asfend Yar Hamid,Learn to build secure RESTful Api s with Asp Net Core  MySQL Server  Entity Framework Core and Visual Studio For MAC,4.8,61,4.5,88,All Levels
Flask for beginners  Create Real World Interactive Apps,Bluelime Learning Solutions,Learn Flask from scratch step by step,4.3,61,9.5,88,Beginner
Statistics for Data Science and Analytics,Analytics Leap  Ken Yul Lee,Master the fundamentals of Probability and Statistics to build and advance your career in Data Science and Analytics,3.7,61,4.5,44,All Levels
Certification Angular 4 Guide,Istiak Ahamed Sishir,Comprehensive angular crash course  Get to know some of the most essential angular topics now ,2.6,61,40.0,5,All Levels
Building a Search Engine,QScutter Tutorials,All algorithms and secrets reveled,3.2,61,5.5,52,All Levels
Getting Started with Perl for Beginners,EDUmobile Academy,Learn Perl Programming Language Suited to Nearly any Task,3.7,61,40.0,7,All Levels
CSS Grid   The Complete Guide,react school  ,Build an Image Gallery app with React  React Router and styled components  mastering CSS Grid with over 100 examples ,3.8,61,2.5,29,Intermediate
Statistics for Data Science using Python,EDU CBA,This training is an introduction to the concept of statistical concepts that are very important to Data science,3.4,61,3.5,24,Intermediate
Learn SAP ABAP  SAP ABAP Programming Language For Beginners,Oak Academy,This SAP ABAP online course will take you from scratch to advanced level  Learn SAP ABAP with hands on examples ,3.9,61,7.0,110,Beginner
Android Development Working With Mysql and PHPLive on Web,Enad Al Qudah,Guide for creating a PHP webserivces and creating free webhost server,3.0,61,3.0,20,Expert
Kivy   Create Cross Platform Applications,Mustafa Alawi,Create apps for Android  iOS  Windows  OS X and Linux,3.4,61,4.5,41,Intermediate
Master CHash and  NET Debugging with Visual Studio 2019,Badran Yahyaoui,This course teaches you how to use the Visual Studio that have powerful debugging features to hunt down tough bugs ,3.8,61,1.5,25,Beginner
How to Create a Social Network For a Niche Related Community,Maya Bielik,Learn how to build a fully functional online community website to start a niche related network  using Buddypress ,4.5,61,2.0,39,All Levels
IPFS and Decentralised Networking,Vinay Phadnis,Understand basics of IPFS   InterPlanetary File System  Build a website on IPFS and create decentralised DropBox clone,4.2,62,7.0,59,All Levels
Learning Path  OpenCV  Real Time Computer Vision with OpenCV,Packt Publishing,Harness the power of OpenCV 3 to build practical computer vision projects,4.0,61,5.5,62,Beginner
Algorithms and Software Engineering for Professionals,Eduonix Learning Solutions,Understand the core concepts and algorithms of software engineering using Java,3.6,61,7.5,104,Intermediate
R programming from Scratch and Practice Case Studies workout,Gopal Prasad Malakar,Analytics   Data Science  Learn to Import  Sort  Merge  Subset  Append  Freq  Univariate  Regression  Derive variable,3.8,61,4.0,49,All Levels
Create Chatbots using Dialogflow v1and deploy on GCloud,Nilay Mehta  Tutorials Team,Learn how to create bots for Skype  Slack  Facebook Messenger  Google Assistant  and Cortana,3.6,61,3.0,28,All Levels
Ruby Programming for Beginners,DoEdu IT Educations,Ruby Programming Basic fundamentals for beginners  Learn everything in Ruby Programming,4.3,61,6.0,82,Beginner
Cisco Voice Solutions for Medium Large Enterprise MLE CUCM,Packt Publishing,Successfully build  secure  and maintain your own voice network for medium to large sized enterprises,4.2,61,2.0,18,Intermediate
Basic Java Programming with Eclipse,Programming Tut,Take your first step into the world of programming with this beginner course on Java  Become a programmer today ,4.3,61,1.5,16,Beginner
JavaScript Basics for Beginners Introduction to coding,Laurence Svekis,Learn the foundations of JavaScript coding develop the core skills you need to apply JavaScript to your web projects,4.0,61,1.5,19,Beginner
Master ExpressJS to Build Web Apps with NodeJSandJavaScript,Azat Mardan,Based on ExpressWorks automated workshop  author Azat Mardan  Pro ExpressJS  walks you through each exercise ,4.1,61,3.5,24,All Levels
Hybrid Mobile App Development with Ionic,Infinite Skills,Leveraging AngularJS  CSS  HTML5  and Apache Cordova in the Ionic Framework,3.6,61,3.0,52,All Levels
Point of Sale POS System ,Hemn Barzan Abdalla, Learn how to use a database for creating the Customer Database   POS Point of Sale System,3.8,61,4.5,26,All Levels
How to start JavaScript career in couple of months,Alex Polymath,This course is for people who spending a lot of time and energy for courses but still haven t started developer career ,3.8,61,32.0,17,Beginner
Modern Deep Convolutional Neural Networks with PyTorch,Denis Volkhonskiy,Image Recognition with Convolutional Neural Networks  Advanced techniques for Deep Learning and Representation learning,3.9,61,2.0,29,Intermediate
Full React Js Course  React JS  Redux  Hooks and Context,Oak Academy,All React JS concepts are in this course  Learn React JS  Redux  Hooks and Context  You will love this All in One course,4.6,61,13.0,109,All Levels
Introduction to Frontend Web Development For  Beginners,Tech Academy,Learn to program for the web using HTML  CSS  JAVASCRIPT,4.4,61,4.5,48,Beginner
Create Complete Registration Form using PHP and jQuery,Usman Raoof  Fahad Chaudhry,Learn how to make a cool and interactive sign up system using PHP and jQuery ,4.5,61,3.0,25,All Levels
Writing Clean Asynchronous Code In Node js,Haider Malik,A Complete Guide To Avoiding CallbackHell And Writing Clean Code With Async js  Async Await  And Promises,3.1,61,2.0,28,Intermediate
Oil and Gas Process Simulation  Modeling Using Aspen HYSYS,Dr  Aamer Yahia,Learn HYSYS from Scratch to be an Expert,4.8,61,4.0,32,Intermediate
Google Assistant Development from Beginner to Expert,Harshit Agrawal,Build apps for Google Assistant and chatbots using DialogFlow and Firebase for Google Home   Smartphones  Facebook Page,3.8,61,4.5,46,All Levels
Create Responsive Websites  From PSD Design to Code As a Pro,Amir Mewlani Rad,Learn Web Design in Photoshop and Code with HTML 5  CSS 3  jQuery and Bootstrap 4 Professionally the Easy Way,4.3,61,8.0,70,All Levels
asp net web api and angularjs development to deployment,Lutfor Rahman,Learn to develop single page application  SPA  using asp net web api and angularjs and deploy to live server ,4.3,61,2.5,51,All Levels
Create a Blog with Mezzanine CMS   The Best Django CMS,Travis Rodgers,Like WordPress  but on Python  Learn to build websites with Mezzanine  utilize its tons of features  and deploy to prod ,4.3,61,7.5,32,Beginner
Advanced Guide for MySQL Database,Inflame Tech,learn most popular relational database MYSQL,3.6,61,7.5,48,All Levels
Advanced Transact SQL T SQL   Stored Procedures  Functions,Bluelime Learning Solutions,Practical Hands on Advanced Transact SQL  T SQL Queries  ,4.1,61,3.5,47,Intermediate
Cloud Computing with Microsoft Azure BUNDLE 2021  updated ,Pranjal Srivastava  Harshit Srivastava,A COMPLETE Boot camp with multiple Projects,4.2,61,18.0,167,All Levels
Kickstart HTML  CSS and PHP  Build a Responsive Website,Terry Ogbemudia Osayawe,Earn a professional credential learning HTML  CSS Front End and PHP Backend Coding From Scratch,4.3,61,8.5,65,Beginner
JavaScript for beginners JavaScript Fundamentals concepts,Laurence Svekis,Learn the basics of JavaScript with code examples JavaScript is key to making web page content dynamic and interactive,4.5,60,1.5,22,Beginner
JavaScript for beginners JavaScript Fundamentals concepts,Laurence Svekis,Learn the basics of JavaScript with code examples JavaScript is key to making web page content dynamic and interactive,4.5,60,1.5,22,Beginner
Apache Maven Essentials,Matt Speake  Java Easily,Master Apache Maven from the ground up by practical demonstration,4.0,60,2.5,33,All Levels
Intermediate and Advanced iOS   Build Real World Apps,Mohammad Azam,Learn iOS 12  MVVM Design Pattern  Firebase  Firestore   Instagram Clone and Swift Language,4.3,60,8.5,73,All Levels
Cloud Computing with SALESFORCE HEROKU,Pranjal Srivastava,Build your concept from beginning to end,3.3,60,5.0,22,All Levels
Projects in jQuery Mobile  Learn by building Real World Apps,Eduonix Learning Solutions,Learn to build mobile apps using jQuery Mobile,4.1,60,2.5,26,Intermediate
Bot Building Basics,Johnathan Lightfoot,Using No Code with the Microsoft Bot Framework,4.2,60,2.5,24,Beginner
