Instructor,User_vote,Total_hours,Lecture,Level,Rating
Shakil Khan,86,11.0,78,All Levels,4.5
Bekzod Ruzmetov,86,4.5,36,All Levels,4.4
Mahmoud Ramadan,87,5.5,111,Intermediate,3.2
Saheb Singh Chaddha,86,15.0,35,All Levels,4.1
Haider Malik,86,11.0,90,Beginner,3.7
Laurence Svekis,86,2.0,28,All Levels,3.8
Suresh Kumar Srivastava,86,5.0,70,Intermediate,3.1
Akbar Khan,86,2.5,9,Beginner,3.3
Laurence Svekis,86,1.5,32,All Levels,4.0
Amr Swalha,86,2.0,18,All Levels,4.2
Uzochukwu Eddie Odozi,89,25.5,257,All Levels,4.6
Ali Hesari,86,2.0,31,Beginner,3.9
Pete Moxon,86,1.0,11,Beginner,4.0
Eduonix Learning Solutions  Eduonix Tech  ,86,7.5,56,All Levels,3.6
Jasmin Skamo  Armin Sarajlic,86,6.5,35,Intermediate,3.5
Nicholas  Techustler  Ivanecky,85,4.0,57,Beginner,3.2
Mammoth Interactive  John Bura,87,5.0,36,Beginner,4.4
Ajay Srinivasa,85,3.0,32,Beginner,3.9
Gary Simon,85,3.5,25,All Levels,4.2
Sorin Constantin  Emily S  Lima,85,3.5,24,All Levels,4.0
Emenwa Global  Zoolord Academy,85,42.5,343,All Levels,4.3
Girish D,88,4.5,76,All Levels,4.3
Timothy Meixner  Johannes Ruof,85,4.5,22,Intermediate,4.1
Stone River eLearning,85,39.0,9,Beginner,3.5
Tarek Abulnaga,85,4.0,33,All Levels,3.6
Juan Klopper,85,3.5,38,Beginner,4.5
Jeppe Schaumburg Jensen,85,13.0,127,Beginner,4.0
Ryan Dhungel,85,4.5,64,All Levels,4.2
Up Degree,85,7.0,64,All Levels,3.9
Supriyo Kundu,85,6.5,36,All Levels,4.4
Testing World,85,3.0,42,Expert,3.9
Ajinkya Borade,85,2.0,11,Beginner,3.6
Harshit Srivastava,84,9.0,99,All Levels,3.1
Soledad Galli,84,8.5,104,Intermediate,4.7
Angular University,84,6.5,57,All Levels,4.7
Traci Synatschk,84,3.5,42,All Levels,4.2
Dmitry Shyshkin,84,3.0,25,Beginner,4.6
Istiak Ahamed Sishir  Sobuj Mahbub,84,1.0,8,All Levels,2.5
Dr  Chris Mall   25 000  Students Worldwide,84,4.5,42,All Levels,4.9
SunLight Team,84,12.0,78,All Levels,3.5
EDU CBA,84,4.0,29,Intermediate,3.6
Yohann Taieb,84,2.5,27,Intermediate,4.8
Ampofo Amoh   Gyebi,84,9.0,97,Beginner,3.7
EDUmobile Academy,84,40.0,8,All Levels,4.2
Yazdani Chowdhury,84,5.0,44,All Levels,3.5
ARdeveloper TT,84,2.5,28,Beginner,3.4
Packt Publishing,84,1.5,16,All Levels,4.2
James Brooks,84,34.0,79,All Levels,2.8
Nathan Krieger,84,1.0,9,Beginner,4.5
Anil Batra,84,2.5,26,Beginner,4.6
Carlos Medger,84,4.0,31,All Levels,4.2
Eftekher Husain,84,1.0,10,All Levels,4.0
Geoffrey Hubona  Ph D ,84,15.0,82,All Levels,3.8
A  Morelan,84,3.5,31,Beginner,4.4
Vasiliy Zukanov,83,12.0,82,Beginner,4.7
Nicholas Lever,83,4.5,44,Intermediate,4.6
Infinite Skills,83,5.0,45,All Levels,3.6
Abhay Redkar,83,2.0,37,Beginner,4.3
EDUmobile Academy,83,13.0,120,All Levels,4.0
Packt Publishing,83,3.5,40,Beginner,4.0
Bluelime Learning Solutions,83,19.5,195,Beginner,4.3
Hoku Ho,83,3.0,38,All Levels,4.3
Packt Publishing,83,3.5,20,Beginner,4.3
EDUmobile Academy,83,1.0,9,All Levels,3.9
IT Solutions,83,1.5,8,All Levels,2.9
GoTrained Academy  Faizan Ali,83,4.5,29,All Levels,3.2
MdJahidul Said  MD  Hasanur Rahaman Hasib,83,35.0,5,All Levels,2.7
Yohann Taieb,83,1.0,15,Beginner,3.8
HiTech Squad,83,1.5,39,All Levels,3.6
Learn Tech Plus,83,2.0,86,All Levels,3.6
Stephen Fullington,83,1.0,22,Beginner,4.7
Eliot Arntz  John Omar  Jed Hastwell,83,30.5,349,All Levels,4.0
Mohammad Azam,83,4.5,42,Intermediate,4.7
D  Penev,83,42.0,31,All Levels,3.3
Burak Gunduz,83,3.5,29,Beginner,4.5
Stone River eLearning,83,3.0,36,Intermediate,4.2
Syed Ali  Syed Raza  ClayDesk E learning,83,4.0,34,All Levels,4.2
Packt Publishing,83,8.5,130,Beginner,3.9
ITUp We Ramp You Up,83,3.0,33,Beginner,4.5
Udacoding Official,82,1.0,6,Intermediate,4.1
Eincode by Filip Jerga  Filip Jerga,82,28.5,157,All Levels,4.6
Dr  Omar AlThuwaynee,82,7.5,39,Intermediate,4.4
Umair Khan,82,15.5,75,Intermediate,3.9
Yogesh Patel,82,8.5,49,All Levels,4.2
Shivprasad Koirala,82,1.0,5,Beginner,3.9
Igneus Technologies,82,13.0,76,All Levels,4.2
Sobhan N ,82,2.0,27,All Levels,3.9
Wilmer Lin,82,6.5,41,Beginner,4.7
Romi Fauzi,82,14.0,63,Intermediate,4.4
Packt Publishing,82,1.5,22,Beginner,3.3
Tahir Abbas,82,13.5,148,Intermediate,4.9
Stone River eLearning,82,3.0,20,Beginner,3.9
Blue Moon,82,1.0,12,All Levels,3.7
OS Training LLC,82,3.5,41,All Levels,4.0
Anto Aravinth,82,3.0,44,Beginner,3.5
Bluelime Learning Solutions,82,3.0,32,Beginner,3.9
JuanD MeGon  ProgramarYa By JuanDMeGon,82,15.0,95,All Levels,4.4
Bogdan Stashchuk,82,5.0,38,All Levels,4.5
Omprakash Chavan,84,39.0,161,All Levels,4.7
Mubarak Awal,82,8.0,85,Beginner,4.5
Testing World,82,10.5,108,Expert,4.5
Eduonix Learning Solutions  Eduonix Tech  ,82,11.5,55,Intermediate,3.3
Rajesh Pillai,82,21.5,128,All Levels,4.5
Dan We,82,2.5,19,Beginner,4.5
Nicholas Lever,82,3.5,36,All Levels,4.3
DigiFisk  Programming is fun ,83,7.5,48,All Levels,4.8
Govard Barkhatov,82,11.0,168,All Levels,4.5
Thrandur Arnthorsson,82,3.5,40,All Levels,3.8
Timur Kazantsev,83,2.5,19,All Levels,4.0
Satish Venkatesh,81,6.5,104,All Levels,3.1
Ahmed Ahmed Hassan,82,2.5,20,All Levels,4.7
Stefan DeClerck,81,2.0,18,All Levels,4.3
Tamer Ahmed,81,5.0,126,Beginner,3.0
Robin Wieruch,81,1.0,19,All Levels,3.1
Hidran Arias  Juan Gabriel Gomila Salas,81,12.5,82,All Levels,4.5
Abdul Motin  Marufa Yasmin,81,37.0,5,All Levels,2.8
Yazdani Chowdhury,81,3.0,15,All Levels,4.0
Michael Miller,81,13.5,85,Intermediate,4.6
Max Nelson,81,3.5,31,All Levels,4.1
Tristan Hull  Joshua Benz,81,14.5,196,Beginner,3.0
Erick M bwana,81,2.5,40,All Levels,4.2
Mashrur Hossain  Evgeny Rahman,81,13.5,187,All Levels,4.3
Bluelime Learning Solutions,81,32.0,12,Beginner,3.8
Aatul Palandurkar,81,7.0,75,Beginner,4.1
Testing World Infotech,81,4.0,39,Intermediate,4.2
Daniel Prinz,83,6.5,59,All Levels,4.5
OnlyKiosk Tech,81,43.0,11,All Levels,4.7
Sujith Reddy,81,17.0,191,Intermediate,4.2
Roman Granskyy,81,10.5,143,Intermediate,4.5
Zach LaCourse,82,26.0,193,All Levels,4.4
Frahaan Hussain,81,2.0,53,All Levels,3.4
Easylearning guru,81,6.5,100,All Levels,3.7
Mark Nielsen,82,3.0,32,Beginner,4.0
Dilip S,81,4.5,53,All Levels,4.2
Derek Morgan,80,7.5,80,Beginner,4.8
Magic Coding,80,14.5,71,All Levels,4.1
Step2C Education,80,1.0,12,Beginner,3.7
Piotr Jura,80,18.0,121,All Levels,4.5
Packt Publishing,80,1.5,32,All Levels,3.7
Ted Petrou,80,7.5,57,Intermediate,4.6
Jorge Escobar,80,1.5,40,Beginner,4.2
EDUmobile Academy,80,1.5,14,All Levels,3.7
Eduonix Learning Solutions  Eduonix Tech    Samy Eduonix,80,5.0,21,Intermediate,4.4
Alfa e Learning,81,3.5,49,Beginner,4.0
Jenny Hide,80,3.5,60,Intermediate,4.2
3dmotive LLC,80,6.5,70,Intermediate,4.3
Naeem Hussain,80,4.5,56,All Levels,3.8
Laurence Svekis,80,1.5,18,Beginner,4.6
Alex Genadinik,80,3.0,18,Beginner,4.5
Kalob Taulien,80,3.5,50,Beginner,4.8
Jun Shan,80,8.5,54,Beginner,3.9
Yuri Zolotarev,80,2.5,14,Intermediate,4.2
Wadson Guimatsa,80,4.5,35,Beginner,4.6
Sanjay Patel,80,1.0,8,Beginner,3.3
Romi Fauzi,80,12.5,56,Intermediate,4.7
Geoffrey Hubona  Ph D ,80,22.0,136,All Levels,4.2
Laurence Svekis,80,1.5,23,Beginner,3.8
Ghulam Abbas,79,11.0,87,All Levels,4.3
Ghulam Abbas,79,11.0,87,All Levels,4.3
Maro  Kutschy,79,3.5,20,Beginner,3.6
Stone River eLearning,79,2.0,30,All Levels,4.0
Testing World,79,5.5,85,All Levels,4.6
Packt Publishing,79,12.5,92,Beginner,4.0
Ahmed Tabana,79,1.5,25,Beginner,3.6
Laurence Svekis,79,2.5,32,Intermediate,4.6
Joshua G rner,79,1.5,45,All Levels,3.8
Haytham Omar,79,37.0,405,All Levels,4.4
Packt Publishing,79,2.5,20,Beginner,3.8
We2Blocks   Blockchain,79,9.0,87,All Levels,4.2
The Art Of Service,79,2.0,49,All Levels,3.9
Trevoir Williams,79,6.5,22,All Levels,4.3
Omkar Deshpande  Mentors Net,79,39.0,123,All Levels,4.2
Pavol Almasi,79,7.0,44,Beginner,4.5
Anshul Yadav,79,2.5,37,Beginner,3.5
Pavol Almasi,79,7.0,44,Beginner,4.5
Anshul Yadav,79,2.5,37,Beginner,3.5
Daniel Strong,79,4.5,56,All Levels,4.2
Md  A  Barik,79,4.5,62,Beginner,3.7
Oak Academy,79,5.5,61,Beginner,4.6
Laurence Svekis,79,1.0,17,Beginner,4.3
Srinidhi Ranganathan  Saranya Srinidhi,79,1.5,7,Beginner,3.4
Academy of Computing   Artificial Intelligence,79,1.0,8,All Levels,2.8
Artech Learning  LLC ,79,3.0,26,All Levels,4.3
Md  A  Barik,79,3.5,92,Beginner,3.7
Raja yogan,79,4.0,37,All Levels,4.1
Rodrigo Donini,79,1.0,32,Intermediate,3.9
Raja Tamil,79,4.5,46,All Levels,4.3
Tanmay Garg,79,19.0,91,Beginner,4.0
Panagiotis Doris,79,5.0,73,Intermediate,3.8
Mohammed Wuhaidi,78,3.5,43,All Levels,3.2
Sachin Bhatnagar,78,11.5,103,All Levels,4.8
Richard Han,78,5.0,81,All Levels,3.5
Lukas Lechner,83,9.5,107,Intermediate,4.6
Jitesh Khurkhuriya  Python  Data Science   Machine Learning A Z Team,78,2.5,27,Beginner,4.1
Nikolai Schuler,78,10.0,65,Beginner,4.7
Yashin Soraballee,78,1.0,12,All Levels,4.3
Mahadi Hasan Meem,78,1.0,22,Beginner,3.9
Dr  Chris Mall   25 000  Students Worldwide,78,4.5,29,All Levels,4.9
Bryan Lamb,78,4.0,49,Beginner,4.5
Kameswara Sarma Uppuluri,78,13.0,87,All Levels,4.4
Packt Publishing,78,5.5,31,Beginner,4.2
Framework Television Inc ,78,6.0,53,Beginner,3.9
Maxim Maslov,78,1.5,18,All Levels,3.3
Mammoth Interactive  John Bura,78,50.5,282,Beginner,4.1
Mammoth Interactive  John Bura,78,12.5,84,Beginner,3.5
John Westbrook,78,2.0,9,Beginner,4.0
Zak Ruvalcaba,79,21.0,163,All Levels,4.9
kumar Gupta  Anand,78,14.5,70,All Levels,4.5
Stephan Dowless,78,13.0,66,Beginner,4.3
Ilnar Farkhutdinov  Smart Games Development ,78,15.0,62,All Levels,4.4
Coding School,78,9.5,72,Expert,4.1
Kazi Ariyan,78,6.0,51,All Levels,3.8
The Art Of Service,78,2.5,59,All Levels,3.1
Tiago Pereira,78,2.5,38,All Levels,4.3
Bluelime Learning Solutions,78,6.0,65,Beginner,3.3
Brian Advent,78,4.0,37,Intermediate,4.6
David Kababyan,78,3.5,18,Intermediate,4.6
Shahidul Islam,78,38.0,5,All Levels,3.2
Igneus Technologies,78,12.5,152,All Levels,4.5
Ankit Mistry,77,1.5,17,Beginner,4.1
Marufa Yasmin,77,1.0,9,All Levels,2.8
Marufa Yasmin,77,1.0,9,All Levels,2.8
Icaro Lavrador,77,12.0,62,All Levels,4.0
Eduonix Learning Solutions  Eduonix Tech  ,77,2.5,20,All Levels,3.9
Laurence Svekis,77,2.5,32,Beginner,4.5
Shokal Shah  Ara fat,77,1.0,10,All Levels,3.7
Jared Davidson,77,2.0,18,Intermediate,3.8
Edwin Diaz  Coding Faculty Solutions,77,3.0,29,All Levels,4.3
Packt Publishing,77,6.0,66,Beginner,4.1
Ehtesham Mehmood,77,2.5,21,All Levels,3.8
FutureX Skill,77,4.0,51,Beginner,4.5
Laurence Svekis,77,2.0,32,Beginner,3.6
Massimiliano Alfieri,77,18.0,93,All Levels,4.2
Maruti Makwana,77,1.5,12,Beginner,3.9
Vasandkumar Kunasekaran,77,6.5,72,Beginner,4.1
Rick Mac Gillis  Red Scale Corporation,77,41.0,216,All Levels,4.1
Yume Neoui,77,8.0,31,Beginner,4.5
Web University by Harsha Vardhan,77,10.5,66,All Levels,4.5
Kiran Singh,77,6.0,29,All Levels,3.8
K Sathyaprakash Reddy,77,9.0,46,Beginner,4.3
Kam Hojati,77,21.0,188,All Levels,4.9
Nathan Glover,77,3.5,39,All Levels,3.9
Abhilash Nelson,79,4.5,49,All Levels,4.3
Mustafa Alawi,76,22.5,184,Intermediate,4.0
Shubham Sarda,76,2.5,27,All Levels,4.6
Gopal Shangari,76,13.5,74,All Levels,3.9
Estefania Cassingena Navone,76,2.0,104,All Levels,4.5
Jackson Ndirangu,76,1.5,15,Beginner,3.6
Shadi Oweda,76,2.0,51,Beginner,3.6
Simon Sez IT,76,12.5,94,All Levels,4.1
Yume Neoui,77,3.0,13,Beginner,5.0
Naresh Idiga,76,3.5,31,All Levels,4.7
Taurius Litvinavicius,76,1.0,15,Expert,3.4
SunLight Team,76,8.5,44,All Levels,4.6
Eldor Togaymurotov,76,22.0,121,All Levels,4.3
Abhishek Roshan,77,37.5,97,All Levels,4.3
Nick Walsh,76,2.0,41,All Levels,4.5
Tim Buchalka s Learn Programming Academy  Goran Lochert,76,27.5,136,Beginner,4.7
Laurence Svekis,76,17.5,249,Beginner,4.2
Lee Shadle,76,4.0,42,Beginner,4.0
Robert Jeutong,76,8.5,42,Beginner,4.4
John Elder,76,2.5,37,Intermediate,4.4
Shay Tavor,76,4.5,59,Beginner,4.5
Omar Hegazi,76,10.0,59,All Levels,4.5
Abhin Chhabra  Sandeep Kumar  ,76,2.5,38,Beginner,4.3
David Battersby,77,4.5,71,Beginner,4.5
Marufa Yasmin,76,30.0,5,All Levels,3.3
Stone River eLearning,76,7.0,62,All Levels,4.6
Packt Publishing,76,10.5,96,Intermediate,4.0
Packt Publishing,76,10.5,96,Intermediate,4.0
Eshgin Guluzade,76,2.0,20,Beginner,4.3
MKCL India,76,13.5,259,Beginner,3.6
Daniel Tait,76,4.5,67,All Levels,4.6
sharon cheng,76,6.0,52,All Levels,4.4
Hira Mariam,76,4.0,25,Beginner,4.5
Vishay Bhatia,76,12.0,72,Beginner,4.4
Laurence Svekis,76,41.0,8,Beginner,3.7
Claudiu GURA,76,3.5,48,Beginner,4.2
Hara Gopal,76,5.0,62,All Levels,4.1
Bluelime Learning Solutions,75,6.5,62,Beginner,4.1
Programming Tut,75,1.0,16,Beginner,4.3
Vladimir Poliakov,75,5.0,51,Beginner,4.0
Le Deng,75,4.5,42,All Levels,4.5
Jazeb Akram,75,4.5,47,All Levels,4.3
Laurence Svekis,75,2.0,38,Beginner,4.0
MerlionSG Academy,76,4.5,16,All Levels,3.7
Norbert B  Menyhart,75,25.0,132,All Levels,3.9
Senol Atac,75,5.5,77,All Levels,3.8
Francisco Juretig,75,6.5,27,Beginner,3.6
Ercan Ayhan,75,2.0,55,Beginner,3.8
Peter Sekula,75,2.5,19,Expert,4.0
Web University by Harsha Vardhan,75,32.0,200,All Levels,4.6
Edwin Diaz,75,3.5,41,All Levels,4.1
Eduero Academy  Inc ,75,3.5,25,All Levels,4.3
Aijaz Mahar,75,2.0,36,Beginner,3.9
F  Frank Ozz,79,5.5,49,All Levels,4.2
Zeeshan Mehdi,75,15.5,49,All Levels,3.8
Niyazi Erdogan,75,3.0,49,All Levels,4.1
Emenwa Global  Zoolord Academy,75,11.0,61,All Levels,4.3
Learning District,75,3.5,23,All Levels,4.3
C# Tut,77,1.5,15,Beginner,4.2
Laurence Svekis,75,1.0,18,Beginner,3.6
John Elder,75,2.0,27,Beginner,4.2
Dave Partner,75,15.5,128,All Levels,4.2
Bluelime Learning Solutions,75,1.0,8,Beginner,3.6
Bruce Chamoff,75,4.0,30,Intermediate,3.9
Testing World Infotech,75,3.5,38,Intermediate,3.4
Sefik Ilkin Serengil,75,3.0,21,Beginner,4.0
Brian Ortiz,75,57.0,491,All Levels,4.2
Kunaal Naik,75,2.0,12,Intermediate,3.2
Amir J,75,8.5,74,Intermediate,4.1
Muhammad Haroon,74,33.5,235,Beginner,4.2
Launch Programmers,74,3.0,49,All Levels,3.6
Syed Raza  Syed Ali  Qasim Shah  ClayDesk E learning,74,3.0,23,All Levels,3.7
Johan Nordin,74,3.0,9,Beginner,3.9
Odoo Class Videos,74,3.0,19,All Levels,3.9
Start Tech Academy,75,5.0,46,All Levels,4.6
Jamshaid Raza  Professional Tutorial,74,1.5,18,All Levels,4.2
Packt Publishing,74,4.0,39,Expert,3.7
Eduonix Learning Solutions  Eduonix Tech  ,74,5.0,37,All Levels,4.1
Chris Love,74,21.0,203,Beginner,4.1
Laurence Svekis,74,2.0,22,Beginner,3.6
Tim Buchalka s Learn Programming Academy  Robert Gioia,74,10.0,142,All Levels,3.7
Sanket Chafle,74,1.5,45,Beginner,3.4
Neil North,74,3.5,34,Intermediate,4.3
Ben Gorman,74,3.0,43,All Levels,4.4
Abdul Qadeer,74,1.0,13,All Levels,4.4
Maksym Rudnyi,74,4.5,40,All Levels,3.8
Kiarus Enterprises,74,18.5,118,All Levels,4.4
Laurence Svekis,74,4.0,60,Beginner,4.1
Srinidhi Ranganathan  Saranya Srinidhi,74,38.0,8,Beginner,4.0
Anto Aravinth,74,4.5,34,All Levels,4.3
Laurence Svekis,74,2.0,33,Beginner,4.0
Roman Banytskyy,74,1.5,15,All Levels,3.9
Stone River eLearning,74,5.0,68,All Levels,3.6
Bihan Mahadewa,74,4.0,44,Beginner,4.0
Stefany Newman,74,3.0,30,Beginner,3.8
Packt Publishing,74,10.5,111,Beginner,4.0
QScutter Tutorials,74,4.0,42,Expert,2.9
Stephen DeStefano,74,11.0,63,Intermediate,4.1
Crypters Infotech,74,4.5,37,Beginner,4.2
Infinite Skills,74,2.5,44,Beginner,4.0
Beh Kh ,73,13.0,71,All Levels,4.1
Morad Rawashdeh,74,12.0,132,All Levels,4.0
AkaSkills  35 000  Students,73,9.5,62,All Levels,4.0
MEHRUF MEHERALI,73,1.5,11,Beginner,4.1
Jamie Henry,73,1.5,15,All Levels,4.8
Mohammad Azam,75,6.5,77,All Levels,4.6
Uzochukwu Eddie Odozi,73,6.5,39,All Levels,3.8
Denis Panjuta  Tutorials eu by Denis Panjuta,73,18.0,121,Intermediate,4.6
Curiosity for Data Science,73,3.5,49,All Levels,4.1
DataShark Academy,73,2.5,39,All Levels,3.7
Maro  Kutschy,73,2.5,18,Beginner,4.2
Alex Nagy,73,3.0,31,All Levels,2.9
Ryan Moore,73,1.0,8,Intermediate,3.7
Eduonix Learning Solutions  Eduonix Tech  ,73,3.5,31,All Levels,4.3
Data Training Campus,73,7.0,62,All Levels,4.2
Tom Phillips,74,6.0,62,All Levels,4.6
EDUmobile Academy,73,1.0,10,All Levels,2.8
Packt Publishing,73,2.0,15,Intermediate,3.4
Packt Publishing,73,23.5,88,Beginner,4.3
Packt Publishing,73,1.5,24,Beginner,3.6
Stephan Dowless,73,5.0,31,Beginner,4.6
Joby Joseph,73,2.0,29,Beginner,4.4
Laurence Svekis,73,2.0,23,Beginner,4.1
Paul Carlo Tordecilla,73,3.5,109,Intermediate,3.8
Yohann Taieb,73,1.0,21,Intermediate,2.9
Eduonix Learning Solutions  Eduonix Tech  ,73,6.0,42,All Levels,5.0
Sunil K  Gupta,72,5.5,84,All Levels,3.1
Professional Engineering,73,4.0,24,Beginner,3.7
MICHAEL TYISKA,72,8.5,79,Intermediate,3.9
Ahmad Naser           ,72,3.5,27,Intermediate,3.9
Jordan Smith,72,3.5,37,All Levels,3.6
Yusuf Arslan  Mustafa Aksoy,72,4.0,37,All Levels,3.6
Axl Mulat,72,7.0,74,All Levels,4.2
Dhoyazan Adbo Othman,72,9.0,121,All Levels,4.6
Shokal Shah  Zone X,72,30.0,5,All Levels,2.7
Packt Publishing,72,4.0,44,Intermediate,3.5
Infinite Skills,72,10.0,107,All Levels,4.1
John Harper,72,8.0,72,All Levels,4.3
John Harper,72,8.0,72,All Levels,4.3
Stone River eLearning,72,1.0,8,Beginner,4.3
Simon Sez IT,72,6.5,46,Beginner,4.2
Infinite Skills,72,6.5,74,Intermediate,4.2
Vishal Saxena,73,5.5,7,All Levels,4.0
Catalin Stefan,72,10.0,46,All Levels,4.1
Sandeep Soni,72,18.0,40,Beginner,4.4
easy Learning  Kazi Ariyan,72,44.5,211,All Levels,4.0
Justin Mitchel,72,1.0,11,Intermediate,3.5
Seema Pradhan,72,1.5,27,Intermediate,4.2
Liya Peng,72,2.5,30,Beginner,3.8
StudyEasy Organisation  Chaand Sheikh,72,35.0,344,All Levels,3.9
Dave Tromp,72,2.5,11,Beginner,4.2
Alex Uanvilay  Devtamin Academy,72,9.5,76,All Levels,4.6
Packt Publishing,72,4.0,29,Intermediate,4.0
David Sealey,72,1.5,22,Beginner,4.5
Seema Pradhan,71,6.0,49,Intermediate,4.1
Aloui Mohamed Habib,71,3.0,46,Intermediate,3.7
Eddy Chiang,71,1.5,11,Beginner,3.5
Amir J,71,2.5,11,Beginner,4.1
Asfend Yar Hamid,72,3.0,40,All Levels,4.4
Engineer Spock,71,13.5,133,All Levels,3.9
JuanD MeGon  ProgramarYa By JuanDMeGon,71,4.5,50,Intermediate,4.7
Usman Raoof  Fahad Chaudhry,71,3.0,26,All Levels,3.9
Dmitry Shyshkin,71,3.5,18,Intermediate,4.3
Haider Malik,71,3.0,41,All Levels,2.8
Packt Publishing,71,2.0,34,All Levels,4.4
Daniel Lim,71,2.5,19,Beginner,2.9
Devslopes by Mark Wahlbeck,72,3.5,26,Beginner,4.8
CS PRO,71,1.0,8,Beginner,4.2
Dave Partner,71,2.5,17,Beginner,4.0
Statinfer Solutions,71,15.5,129,All Levels,4.5
CS PRO,71,1.0,8,Beginner,4.2
Stone River eLearning,71,2.0,8,All Levels,4.3
One Day Code,71,9.5,91,Beginner,4.6
Eric Tam,71,4.5,56,Intermediate,4.1
Raja Biswas,72,16.0,87,Beginner,4.5
MindMekka  ,71,3.5,31,All Levels,3.6
Carlos Valentin  Beast Android Development,71,3.0,16,Intermediate,3.8
Stone River eLearning,71,4.5,32,All Levels,3.8
Aakash singh,71,5.0,47,All Levels,4.6
Sagar Roy,71,3.5,33,All Levels,4.4
MdJahidul Said  M Tech,71,31.0,6,All Levels,2.6
Basics Strong,71,10.5,96,All Levels,4.3
Daniel Pinheiro Maia,71,11.0,12,All Levels,4.4
Bluelime Learning Solutions,71,2.0,26,Beginner,4.2
Aashish Peepra,70,5.5,90,All Levels,4.1
W odek Krakowski,70,2.0,19,Intermediate,4.3
Engineer Spock,70,3.0,33,All Levels,4.3
Shokal Shah  MD  Hasanur Rahaman Hasib,70,40.0,7,All Levels,3.4
Zac Johnson,70,2.0,11,Beginner,3.7
Remi Blais,70,3.5,80,Beginner,4.3
Frank Anemaet,70,1.0,55,Beginner,4.0
Ryan Stunkel,70,2.5,52,Beginner,4.4
Igneus Technologies,70,14.5,95,All Levels,4.4
Barbara Hohensee,70,3.0,41,All Levels,3.6
EDUmobile Academy,70,1.5,15,All Levels,4.1
Brett Romero,70,3.0,28,Beginner,3.7
Vijay Gadhave,71,14.5,96,All Levels,4.6
James Brooks,70,1.5,11,Intermediate,3.1
LevelUp360  DevOps,71,7.0,26,All Levels,3.9
Dr  Chris Mall   25 000  Students Worldwide,70,7.5,64,All Levels,4.9
Mohamed Adel,70,3.5,29,All Levels,3.9
F  Frank Ozz,70,5.0,56,All Levels,3.6
Testing World,70,1.5,22,Intermediate,4.3
Igneus Technologies,70,7.0,45,All Levels,4.2
Bert Gollnick,71,15.5,147,All Levels,4.2
Packt Publishing,71,4.0,31,Beginner,3.8
Adee Az,70,32.0,7,Beginner,3.2
Bluelime Learning Solutions,70,10.0,97,Beginner,3.5
Thomas Wiesner,70,10.0,157,All Levels,4.1
Kazi Ariyan,70,40.5,180,Beginner,4.6
Senol Atac,70,4.0,53,All Levels,3.7
Infinite Skills,70,2.0,29,Intermediate,4.6
OS Training LLC,70,3.0,41,Beginner,3.7
Laurence Svekis,70,2.5,27,All Levels,4.0
Packt Publishing,71,3.5,39,Intermediate,4.3
Dmitri Nesteruk,71,5.0,43,Expert,4.6
Packt Publishing,70,5.0,56,Beginner,2.9
Musavi Abdullah,70,60.5,666,All Levels,4.3
Reed Barger,70,2.0,43,All Levels,4.6
Stone River eLearning,70,9.0,35,All Levels,3.9
Jazeb Akram,70,7.5,77,All Levels,3.5
Bhanu Pratap,70,36.0,163,All Levels,3.7
Baljeet Singh,69,4.0,45,All Levels,3.8
Luc Zio,69,4.5,29,Beginner,4.3
Niyazi Erdogan,69,4.5,52,All Levels,4.0
John Elder,69,3.0,39,Beginner,4.8
Tom Phillips,69,3.0,35,All Levels,4.5
K  ,69,2.5,31,Beginner,4.4
Lily Rani Pramanik  Green Learn,69,40.0,5,All Levels,1.7
Justin Mares  Nathaniel Eliason,69,3.5,26,Beginner,4.2
John Elder,69,9.0,115,Beginner,4.5
Packt Publishing,69,5.5,58,Beginner,3.2
IO LEARN,69,35.0,12,All Levels,3.6
Prof  Venkata L Raju Vatsavayi,69,10.5,21,All Levels,4.7
Packt Publishing,69,2.0,21,All Levels,3.3
Oleksandr Kocherhin,69,3.5,36,All Levels,4.7
Abdul Motin,69,39.0,5,All Levels,2.0
Loony Corn,69,3.0,32,All Levels,4.1
PJ Manning,69,11.0,217,Beginner,4.3
Aakash Saxena,69,3.5,92,Intermediate,3.7
DevLabs Group,69,1.5,28,All Levels,3.8
THE K INSTRUCTOR,69,1.5,14,All Levels,3.3
Global Academy,69,1.5,16,Beginner,4.8
Pronoy Kumar  Sabrin Siraje,69,1.0,8,All Levels,2.2
Packt Publishing,69,2.0,16,Intermediate,3.2
Prof  M  NAGABHUSHANA RAO   Team  K L UNIVERSITY   INDIA,69,2.5,28,Beginner,3.6
Mo omar,69,7.0,55,Beginner,2.8
Ken Ho,69,3.0,33,All Levels,3.9
James Cutajar,69,5.0,41,Intermediate,4.7
Packt Publishing,69,6.0,70,Beginner,3.6
Luminescence Training,69,1.5,24,All Levels,4.5
Prashant Kumar Pandey  Satyam Kumar  Learning Journal,69,4.5,56,Beginner,4.7
Tech Brain,69,4.0,37,All Levels,2.8
Sandor Kiss  Vladimir Limarchenko,68,3.5,20,All Levels,4.6
Trevor Payne,68,1.5,53,Intermediate,3.5
John Mark Osborne,68,9.0,75,Intermediate,4.8
Tinashe Munyaka,68,1.5,12,All Levels,4.5
Karthik KK,68,9.5,97,All Levels,4.4
Yohann Taieb,68,1.5,27,All Levels,3.3
Vijay Saini,68,5.0,44,All Levels,4.3
